item_id,company_name,name,title_bloomberg,title
32,"private equity hldg-reg","Peter   Wolfers  ","Executive Officer of Investor Relations",
73,"Zurich Insurance Group Ltd  ","James B. Quin",,"Head of Investor Relations & Rating Agencies"
83,"Credit Suisse Group AG  ","Andrew Blain",,"Debt Investor Relations"
132,"McDermott International  ","Darcey Matthews",,"Vice President - Investor Relations"
199,"fresnillo plc","Gabriela   Mayor  ","Head of Investor Relations ",
224,"Rolls-Royce Holding PLC (ADR)  ","Jilinda Crowley",,"Acting Director � Investor Relations"
247,"E.ON SE (ADR)  ","Marc Spieker",,"Head of Investor Relations"
248,"Fresenius SE & Co KGaA  ","Birgit Grund",,"Senior Vice President of Investor Relations"
255,"Linde AG  ","Dominik Heger",,"Head of Investor Relations"
259,"RWE AG  ","Stephan Lowis",,"Vice President Investor Relations"
264,"adidas AG  ","John-Paul P O'Meara",,"Vice President Investor Relations"
265,"Allianz SE (ADR)  ","Oliver Schmidt",,"Head of Investor Relations"
268,"Beiersdorf AG  ","Jens Geissler",,"Head of Investor Relations / Corporate Treasurer"
269,"Bayerische Motoren Werke AG  ","Torsten Schuessler",,"Director of Investor Relations"
270,"Commerzbank AG (ADR)  ","Tanja Birkholz",,"Head of Investor Relations"
272,"daimler ag- spn adr","Rolf   Bassermann  ","Head of Private Investors & Investor Relations Internet ",
272,"daimler ag- spn adr","Björn   Scheib  ","Head of Investor Relations and Vice President ",
373,"Sembcorp Marine Ltd  ","Judy Han",,"Senior Vice President of Investor Relations & Communications"
396,"abb ltd-reg","Alanna   Abrahamson  ","Head of Investor Relations and Group Senior Vice President ",
396,"abb ltd-reg","John   Fox  ","Deputy Head of Investor Relations ",
411,"Swiss Re AG  ","Eric Schuh",,"Head of Investor Relations"
438,"blackrock inc","Tom   Wojcik  ","Managing Director and Head of Investor Relations & Corporate Development ",
469,"vontobel holding ag-reg","Susanne   Borer  ","Deputy Head of Investor Relations ",
475,"vodafone group plc-sp adr","Charles   Butterworth  ","Group Investor Relations Director and Chief Executive Officer of Vodafone Ireland Operations ",
476,"bp plc","Craig   Marshall  ","Head of North America Investor Relations ",
492,"ComfortDelGro Corporation Limited  ","Peng Yen Choo",,"Group Investor Relations and Special Projects Officer"
495,"Hutchison Port Hldg Trust  ","Ivor Chow","Chief Financial Officer of Hutchison Port Holdings Management Pte. Limited and Investor Relations Officer of Hutchison Port Holdings Management Pte. Limited ","Chief Financial Officer, Investor Relations Officer of Trustee-Manager"
537,"credit suisse group-spon adr","Charlotte   Jones  ","Head of Group Finance and Investor Relations & Managing Director ",
588,"AMP Ltd  ","Howard Marks",,"Director of Investor Relations"
652,"emirates nbd pjsc","Patrick Eugene Clerkin  ","Managing Director and Head of Investor Relations ",
696,"Rheinmetall AG  ","Peter Ruecker",,"Head of Corporate Communications and Investor Relations"
728,"Adecco SA  ","David Hancock",,"Head of Investor Relations"
1277,"Baloise Holding AG  ","Marc Kaiser",,"Director of Investor Relations"
1338,"3i group plc-unspon adr","Jennifer Anne Dunstan  ","Partner of Fund Investor Relations ",
1342,"ocado group plc","David   Hardiman-Evans  ","Head of Investor Relations & Corporate Finance ",
1460,"Georg Fischer AG  ","Daniel Boesiger",,"Corporate Controlling & Investor Relations"
1460,"fischer (georg)-reg","Daniel   Bösiger  ","Head of Investor Relations and Head of Corporate Controlling ",
1471,"alent plc-unsp adr","Frances   Gibbons  ","Investor Relations Manager",
1481,"METRO AG  ","Oliver Luckenbach",,"Director of Investor Relations"
1586,"esure group plc","Nick   Wrighton  ","Head of Corporate Finance & Investor Relations and Deputy Chief Finance Officer",
1609,"Countrywide PLC  ","Jim Clarke","Group Chief Financial Officer, Head of Investor Relations and Executive Director ","Group Chief Financial Officer, Executive Director"
1643,"laird plc","Anna   Hartropp  ","Head of Investor Relations ",
1643,"laird plc","Cynthia H. Alers  ","Vice President and Director of Investor Relations",
